label,mean_x,std_x,kurtosis_x,skew_x,mean_y,std_y,kurtosis_y,skew_y,mean_z,std_z,kurtosis_z,skew_z,rms,median_x,min_x,max_x,range_x,median_y,min_y,max_y,range_y,median_z,min_z,max_z,range_z,peak_freq_x,spectral_entropy_x,mean_freq_x,fft_energy_x,peak_freq_y,spectral_entropy_y,mean_freq_y,fft_energy_y,peak_freq_z,spectral_entropy_z,mean_freq_z,fft_energy_z
5.0,2.5574988141521713,1.293376929926661,-0.9999868834968226,-0.48771720174876015,-16.01009487493494,7.6100729597030945,-0.9537729469135967,-0.7051746836634091,2.1288328366182703,2.3095844035667,1.467942731540516,-1.1003113319099387,91.14769357849123,2.9534834733731836,-0.1524613963237753,4.096894811054927,4.249356207378702,-12.586204576331385,-31.984119619056415,-8.67636459654593,23.307755022510484,2.321426574382377,-4.522695007324219,5.9892221728736486,10.511917180197868,0.0,1.4992200593161882,2.7065733740429057,4608.288143003409,0.0,1.3986348480915538,2.34636197962162,178240.95766023514,0.0,2.170947218446802,6.117145027602426,4475.303540036986
5.0,-6.056319715162139,8.432990160559722,-0.704669048892197,-0.7300327509518928,-8.858947082168442,9.81914705595765,-0.3742087327765602,-0.6718624852613791,0.7830229226504811,6.756447673550479,-1.3302852987551068,-0.14341577638032507,90.6853948982915,-3.093543159589464,-24.22279437904105,4.011807403564453,28.234601782605505,-7.680307763886032,-32.100746154785156,4.9024844416057025,37.00323059639086,0.8770262145996095,-10.696161012483127,10.838589649610249,21.534750662093376,0.0,1.679019012555272,3.3061343969469816,45139.89715137447,0.0,2.0594613622677955,5.2316090480344695,78848.42407182502,2.0,1.438718712626481,3.7319991465084574,14646.6154938906
5.0,-2.932846047249492,5.1276243457189,-1.1728472840124473,0.2607774221115727,-9.667457826168397,6.38221747382067,-1.3652103215193911,0.14022809052496701,-1.2598929145708129,2.68338658640505,-0.5900576960360548,0.7284602725346178,66.68479058223227,-3.863125523643527,-10.563839171691303,6.18759862096344,16.75143779265474,-9.99672871037749,-19.197628234879918,0.2703378295898453,19.467966064469763,-2.009828878292661,-5.048198639125033,4.353177445575065,9.401376084700098,2.0,1.3862705295534434,2.3548422152942248,13591.42448297825,0.0,1.2785017673254055,1.9848287161251532,71130.51078735969,2.0,1.8480407168906152,4.234959111416613,3239.070682903715
5.0,1.09405279097658,0.9769973276539787,-1.265043737953035,-0.47630622497097913,-11.49123151961907,3.7350041024161467,-1.330726991701653,-0.4412618728627856,1.6412081339854723,1.751644567365846,-1.2936180633940018,-0.3258180180070705,62.030628644178925,1.4163461371075654,-0.6209673234546956,2.364546242061378,2.9855135655160736,-9.522482483788838,-17.85907395985826,-5.887107696533203,11.971966263325058,1.8899671828777296,-1.2873553854243036,3.9413106186721003,5.228666004096404,0.0,1.4079541678764744,2.1293401529748914,1046.3241404821856,0.0,1.107918253229061,1.583864547485218,86883.11275960985,0.0,1.7661983788697266,3.9612461687722296,2640.5036804146353
5.0,2.2831412146705437,1.6686798521136652,-0.5824905102389009,0.03827546529847237,-15.094840897966645,4.849610480230576,-1.573934005350252,0.03693291193596522,0.8255701346915777,4.874762816187073,-0.9438405008894,0.38181469231735815,84.23405611171185,2.0685310584547665,-1.2703109924902627,5.425593958825361,6.695904951315624,-15.522466567411868,-21.761103205732034,-8.316071469068147,13.445031736663887,0.5053547424860021,-6.474372176809942,9.581899025186859,16.0562712019968,0.0,1.5988302574703273,2.8721156977380615,4126.720178430432,0.0,0.9282754030455787,1.1403424103853328,149754.49557985604,2.0,1.8202726441213322,5.129908040006363,7840.602154275398
5.0,-3.0648427867168566,2.0912021667994165,2.885581233921399,1.787923877594127,1.690094572856714,7.966673981611851,0.5908750294382794,-1.1946804688467934,5.0628041826691135,3.44189927732698,-1.306420402365737,0.12574634820955827,54.214702487315115,-3.473101940624135,-5.865417377753366,3.5881883239746095,9.453605701727977,4.312246166411529,-19.52704330444336,10.463403962683241,29.9904472671266,4.8124778981813225,-0.5354611937232349,10.33773551886317,10.873196712586404,0.0,1.9397321229832551,4.833916759519368,7222.957597082382,2.0,2.070694915159317,5.906100876470583,21546.019380444795,0.0,1.7509624451319779,3.7217017572394813,19696.515735943307
5.0,-0.336237436338493,1.6420153261306096,1.3108622439589572,-1.5046191120631844,-12.807772884240112,3.008758886800164,0.0891262352201263,0.1975149622934432,-1.00699281924799,1.4687293844487004,1.2382058395530846,1.110480181990376,66.90892070209671,0.20498396663597196,-4.984335021972656,1.0341164576831305,6.018451479655787,-13.521129793890722,-18.822012444954414,-5.5570440673828125,13.264968377571602,-1.2066359895874101,-3.0170818045185808,3.3219803554490324,6.339062159967613,2.0,2.2998329513476787,7.430688783631551,901.6780938483248,0.0,1.1685796464449487,2.1729838546731064,105332.3975868281,0.0,2.223323695852194,6.31899252330083,1296.7799788329837
5.0,1.279729713596116,0.4137769056372147,5.0095947155194445,1.9502984448627527,-10.38601889717571,1.4307492157821649,0.09164140899899254,-1.0464092686788817,0.28269524207999697,2.8407382082346655,-0.5404072147577001,-0.30069065356087243,54.74373514066946,1.227007704640477,0.6787371818270258,2.7851160087181945,2.1063788268911687,-9.995362270379147,-13.940892622090388,-8.880120951700446,5.060771670389942,0.8487677801388012,-4.762801514102281,5.806126098632813,10.568927612735095,0.0,1.4973079769474562,3.144140569667452,1076.6876288625194,0.0,0.7068222920045916,0.8286053696836125,68058.0062359036,2.0,2.2784791812318805,7.790729717471801,2540.1336069729027
5.0,0.5989083801005386,3.1524597371895786,-1.0327032163686736,-0.3987083857144078,-12.079223216913705,8.353163089264982,-0.9255826649055812,0.6821958322054009,-3.8038643919755333,5.365403651474478,-1.007490707617098,-0.0909526899110878,82.0421540151825,1.1049362185988791,-4.840497551107029,5.216316781904166,10.056814333011197,-14.018006357495244,-21.172866782842135,3.427178662508844,24.60004544535098,-4.7629500493984365,-13.636137507689588,4.570609024766065,18.206746532455654,2.0,1.9130590744770035,5.152371272030239,3323.1725887231387,0.0,1.5029352053365752,2.7656317217907755,112954.20324914239,0.0,1.6369725733445095,3.065470444505156,18036.585729830633
5.0,-3.93329156568,0.7374550624080166,0.06665520832914762,-1.0364252325829597,0.841104230726417,5.472608405646464,0.4427365941938408,-1.2566727504125093,0.3161308325009708,1.7744545038694108,-0.900276089971177,0.4429205393789181,35.32709621798084,-3.5641956354662043,-5.864751613408533,-3.1737054252055623,2.6910461882029706,2.998239565461853,-13.307336404448057,6.1072217149428845,19.41455811939094,-0.10747363284496014,-2.232639555466597,3.8344415455214453,6.067081100988043,0.0,0.8516376342342404,1.127388891830885,9838.843662891475,2.0,2.16953326766581,6.745773966417075,9733.06085268256,4.0,1.8416351119440149,5.191872166336797,1045.7558545292143
